category,name,original_price,discounted_price,PUM,url
Belleza y Vitalidad,Protector Labial Nivea Lip Care Color Rojo  3 En 1,$ 28.850,,"$6.010,42",https://www.drogueriascolsubsidio.com/protector-labial-nivea-lip-care-color-rojo--3-en-1-4006000101354/p
Belleza y Vitalidad,Perfume Mujer Benetton Sisterland Red Rose EDT 80 Ml,$ 151.950,,"$1.899,38",https://www.drogueriascolsubsidio.com/perfume-mujer-benetton-sisterland-red-rose-edt-80-ml-8433982018749/p
Belleza y Vitalidad,Removedor Tradicional x 35 Ml,$ 5.800,,"$165,71",https://www.drogueriascolsubsidio.com/removedor-tradicional-x-35-ml-7702215130307/p
Belleza y Vitalidad,Biopronnabis Labial Hidratante En Barra,$ 14.900,$ 12.665,"$2.980,00",https://www.drogueriascolsubsidio.com/biopronnabis-labial-hidratante-en-barra-7707232090757/p
Belleza y Vitalidad,Beautika Almohadilla De Algodon,$ 15.800,,"$158,00",https://www.drogueriascolsubsidio.com/beautika-almohadilla-de-algodon-7707305580666/p
Belleza y Vitalidad,Promo Pestañina Lash Maker Max Factor + Pestañina Mini Lash Maker Negra,$ 38.350,,"$1.826,19",https://www.drogueriascolsubsidio.com/promo-pestanina-lash-maker-max-factor--pestanina-mini-lash-maker-negra-7702044082969/p
Belleza y Vitalidad,Removedor Endur Con Prot x 35 Ml,$ 6.300,,"$180,00",https://www.drogueriascolsubsidio.com/removedor-endur-con-prot-x-35-ml-7702215130314/p
Belleza y Vitalidad,Pestañina Max Factor Hi-Fi Negra Precio Especial,$ 17.400,,"$1.450,00",https://www.drogueriascolsubsidio.com/pestanina-max-factor-hi-fi-negra-precio-especial-7702044165969/p
Mamás y bebés,Blemil 3 Optimum Protech Polvo Latax800G,$ 93.500,,"$116,88",https://www.drogueriascolsubsidio.com/blemil-3-optimum-protech-polvo-latax800g-8426594132910/p
Mamás y bebés,Pañal Winny Gold Etapa 6 Bolsa X 30,$ 67.200,,"$2.240,00",https://www.drogueriascolsubsidio.com/panal-winny-gold-etapa-6-bolsa-x-30-7701021118912/p
Mamás y bebés,Similac Mama Polvo,$ 68.250,,"$170,63",https://www.drogueriascolsubsidio.com/similac-mama-polvo-7703186029508/p
Mamás y bebés,Alimento Lacteo Enfagrow Premium Promental Preescolar Vainilla Etapa 4,$ 197.900,,"$119,94",https://www.drogueriascolsubsidio.com/alimento-lacteo-enfagrow-premium-promental-preescolar-vainilla-etapa-4-7506205809460/p
Mamás y bebés,Pañitos Húmedos Pequeñín Almendra x 24 Rese,$ 3.900,,"$162,50",https://www.drogueriascolsubsidio.com/panitos-humedos-pequenin-almendra-x-24-rese-7702026147594/p
Mamás y bebés,Almipro 25% Ungüento,$ 13.350,,"$445,00",https://www.drogueriascolsubsidio.com/almipro-25-ungento-7701684000715/p
Mamás y bebés,Nutriben A.E. Fórmula Infantil,$ 135.500,,"$150,56",https://www.drogueriascolsubsidio.com/nutriben-ae--formula-infantil-7703546835077/p
Mamás y bebés,Pañal Winny Sec Etapa 3 X30 + Toallitas X10 Aloe Vera,$ 38.100,,"$1.270,00",https://www.drogueriascolsubsidio.com/panal-winny-sec-etapa-3-x30--toallitas-x10-aloe-vera-7701021111821/p
Mamás y bebés,Pañal Winny Sec Etapa 4,$ 47.150,,"$1.571,67",https://www.drogueriascolsubsidio.com/panal-winny-sec-etapa-4-7701021114006/p
Mamás y bebés,Acid Mantle Baby,$ 52.250,,"$522,50",https://www.drogueriascolsubsidio.com/acid-mantle-baby-7702123014423/p
Mamás y bebés,Formula Infantil Mah First Love Etapa 2 (+6),$ 45.200,,"$113,00",https://www.drogueriascolsubsidio.com/formula-infantil-mah-first-love-etapa-2-6-854688003033/p
Mamás y bebés,Crema Hidratante Jhonson's Recien Nacido,$ 18.700,,"$93,50",https://www.drogueriascolsubsidio.com/crema-hidratante-jhonsons-recien-nacido-7702031338772/p
Higiene y Cuidado,Babaria Serum Acido Hialuronico,$ 44.200,,"$1.473,33",https://www.drogueriascolsubsidio.com/babaria-serum-acido-hialuronico-8410412100069/p
Higiene y Cuidado,Babaria Serum Retinol,$ 44.200,,"$1.473,33",https://www.drogueriascolsubsidio.com/babaria-serum-retinol-8410412100083/p
Higiene y Cuidado,Caladerm Filmogel Postpicaduras Gel Gerco s.a,$ 39.300,$ 19.650,"$12.092,31",https://www.drogueriascolsubsidio.com/caladerm-filmogel-postpicaduras-gel-gerco-sa-7707210531609/p
Higiene y Cuidado,Goicoechea Árnica Manzanilla 400 Ml,$ 43.200,,"$108,00",https://www.drogueriascolsubsidio.com/goicoechea-arnic-manzana-crema-650240032356/p
Higiene y Cuidado,Jabon Protex Pro Hidratacion X 230ml,$ 14.600,$ 10.220,"$63,48",https://www.drogueriascolsubsidio.com/jabon-protex-pro-hidratacion-x-230ml-7509546668543/p
Higiene y Cuidado,Bloqueador Solar Nivea Sun Face Spf50+,$ 49.550,,"$991,00",https://www.drogueriascolsubsidio.com/bloqueador-solar-nivea-sun-face-spf50-4005808239603/p
Higiene y Cuidado,Jabón Humectante Dove Original,$ 20.850,,"$77,22",https://www.drogueriascolsubsidio.com/jabon-humectante-dove-original-7891150046481/p
Higiene y Cuidado,Pañal Tena Slip Clásico Large,$ 67.900,,"$3.233,33",https://www.drogueriascolsubsidio.com/panltena-slip-clasico-large-4x21-7702027479731/p
Higiene y Cuidado,Tio Nacho Shampoo Engrosador Con Células Madre,$ 36.300,,"$87,47",https://www.drogueriascolsubsidio.com/tio-nacho-shampoo-engrosador-con-celulas-madre-650240035166/p
Higiene y Cuidado,Toalla Nosotras Buenas Noches Tela X24+ Protectores,$ 22.950,,"$956,25",https://www.drogueriascolsubsidio.com/toalla-nosotras-buenas-noches-tela-x24-protectores-7702026155148/p
Higiene y Cuidado,Máquina De Afeitar Gillette Prestobarba 3,$ 18.950,$ 16.107,"$9.475,00",https://www.drogueriascolsubsidio.com/maquina-de-afeitar-gillette-prestobarba-3-7702018874729/p
Higiene y Cuidado,Crema Corporal Lubriderm Humectación Delicada 120 ML,$ 18.100,$ 14.480,"$150,83",https://www.drogueriascolsubsidio.com/crema-corporal-lubriderm-humectacion-delicada-120-ml-7702031244530/p
Belleza y Vitalidad,Perfume Hombre Banderas The Icon Attitude EDP 100 Ml,$ 168.950,,"$1.689,50",https://www.drogueriascolsubsidio.com/perfume-hombre-banderas-the-icon-attitude-edp-100-ml-8411061083970/p
Belleza y Vitalidad,Removedor Con Vitamina E x 35 Ml,$ 6.300,,"$180,00",https://www.drogueriascolsubsidio.com/removedor-con-vitamina-e-x-35-ml-7702215130321/p
Belleza y Vitalidad,NEW TURBO PLUS 2300 Gama,$ 218.000,,"$218.000,00",https://www.drogueriascolsubsidio.com/new-turbo-plus-2300-8023277151376/p
Belleza y Vitalidad,Perfume Mujer Banderas The Icon Splendid EDP For Women 100 Ml,$ 168.950,,"$1.689,50",https://www.drogueriascolsubsidio.com/perfume-mujer-banderas-the-icon-splendid-edp-for-women-100-ml-8411061084922/p
Belleza y Vitalidad,Plancha Cp14 Gold Gama,$ 225.600,,"$225.600,00",https://www.drogueriascolsubsidio.com/plancha-cp14-gold-8023277149526/p
Belleza y Vitalidad,Combo Plancha Led Titan + Rizador Starlight Gama,$ 229.900,,"$229.900,00",https://www.drogueriascolsubsidio.com/combo-plancha-led-titan--rizador-starlight-gama-8023277157712/p
Belleza y Vitalidad,Depilador De Cejas Freestyle,$ 8.150,,"$8.150,00",https://www.drogueriascolsubsidio.com/depilador-de-cejas-freestyle-7702277082569/p
Belleza y Vitalidad,Cepillo Glamour Pink Gama Gama,$ 183.350,,"$183.350,00",https://www.drogueriascolsubsidio.com/f-cepillo-de-cabel-gama-pink-brush-3d-13-8023277149656/p
Belleza y Vitalidad,Sunaid Polvo Compacto Piel Oscura,$ 154.750,,"$12.895,83",https://www.drogueriascolsubsidio.com/sunaid-polvo-compacto-piel-oscura-7707206270161/p
Belleza y Vitalidad,Sunstop Protector Labial,$ 26.000,,"$5.777,78",https://www.drogueriascolsubsidio.com/sunstop-protector-labial-77060563/p
Belleza y Vitalidad,Perfume Mujer Benetton Sisterland Pink Raspberry EDT 80 Ml,$ 151.950,,"$1.899,38",https://www.drogueriascolsubsidio.com/perfume-mujer-benetton-sisterland-pink-raspberry-edt-80-ml-8433982018756/p
